Item,Color,Platform A,Platform B,Platform C
Dresses,Gray,1058,772,1790
Jackets,Dark Blue,592,1473,1712
T-Shirts,Dark Red,1601,718,996
Skirts,Yellow,1401,1516,827
Skirts,Mint,1542,698,1747
Skirts,Light Blue,769,1905,1648
Shirts,Gray,826,1753,1790
Skirts,Orange,1618,1277,1751
Jackets,Red,1849,1993,631
Jeans,Dark Red,1504,1800,848
Dresses,Dark Green,1866,1539,1655
Shorts,Red,1282,1888,880
T-Shirts,Dark Green,1714,1024,1483
T-Shirts,Black,960,1875,1143
Dresses,Coral,543,1568,1354
Jeans,Pink,1978,619,1428
Shirts,Black,1052,1323,534
Shorts,White,1935,1089,1761
Shorts,Dark Green,1823,838,1777
T-Shirts,White,517,973,1416
Shirts,Light Yellow,547,1400,1204
Jackets,Black,1444,1849,1755
Shirts,Mustard,1728,914,787
Jackets,Green,1955,764,1883
T-Shirts,Dark Blue,1299,790,1072
Shirts,Orange,771,1347,714
Dresses,Dark Blue,1989,1046,1744
Skirts,Coral,767,1364,1314
T-Shirts,Red,1013,1070,1650
Skirts,Green,1290,734,1487
Jackets,Mint,602,557,1597
Shorts,Green,555,951,723
T-Shirts,Black,1273,1353,1577
Jeans,Orange,773,1323,771
Skirts,White,1892,686,728
T-Shirts,Purple,1711,1082,1923
Shirts,Blue,1609,1609,1010
Skirts,Mint,814,1901,907
Jackets,Purple,1780,873,1465
Skirts,Coral,1040,514,1141
Skirts,Dark Red,515,850,1544
Shorts,Dark Red,984,1583,890
T-Shirts,Mustard,800,967,1835
Shirts,Brown,851,1376,1404
Shirts,Red,770,993,1014
Shirts,Coral,1556,1876,662
T-Shirts,Dark Red,548,977,1122
Jeans,Gray,1910,1578,867
Dresses,White,607,523,1667
Skirts,Orange,1416,1850,1956
Shorts,Light Yellow,554,1886,866
Skirts,Pink,583,555,1886
Jeans,Purple,1174,1491,1091
Dresses,Mint,1084,1572,1946
Jeans,Yellow,1099,586,1350
T-Shirts,Light Yellow,1610,1876,789
T-Shirts,Yellow,589,1397,684
Dresses,White,861,1352,831
Jackets,Blue,1900,1842,1381
Jackets,Light Yellow,1794,857,1551
Shorts,Green,1196,676,779
T-Shirts,Orange,1549,729,958
Dresses,Mint,941,1480,1055
Shirts,Yellow,1740,1505,1896
Dresses,White,837,1046,1640
Shirts,Light Yellow,1587,1831,1322
Jeans,Coral,1638,1662,681
Jeans,Orange,1689,850,1977
T-Shirts,Pink,1277,670,546
Shirts,Mustard,1121,1397,1904
Shirts,Orange,1250,1018,1654
Shirts,Blue,885,656,1229
Shirts,Pink,780,1344,838
Skirts,Mustard,1945,815,1546
Shorts,Light Yellow,1584,934,931
Skirts,Pink,1755,1715,786
Shorts,Orange,1978,1855,1591
Jeans,Green,735,1246,1660
Skirts,Black,1986,1897,1699
T-Shirts,Coral,1740,1600,1425
Shorts,Light Yellow,988,1572,1958
Skirts,Green,1049,889,1806
Jackets,Gray,1040,1826,545
Dresses,Mustard,630,1259,1356
Shirts,Orange,1224,1352,1344
Jeans,Light Blue,940,1027,703
Dresses,Yellow,963,516,1815
Skirts,Pink,1532,992,922
Dresses,Yellow,1798,820,566
Shorts,Blue,1199,1933,1436
Dresses,White,722,1883,1853
Dresses,Green,1187,856,956
Skirts,Red,1651,1884,1150
Dresses,Mint,1497,691,1029
Dresses,Coral,1242,1561,1949
Dresses,White,1092,1297,645
T-Shirts,Red,889,925,1028
Shorts,White,672,1855,1684
Dresses,Mustard,1048,590,601
Skirts,White,1637,1146,1657
Jeans,Yellow,643,988,1597
Jackets,Dark Green,868,1749,771
Jackets,Coral,956,864,777
Jackets,Dark Blue,1555,785,1430
T-Shirts,Orange,1569,1486,1428
Shirts,Red,521,1087,1290
Jackets,Yellow,1686,1957,637
Shirts,Gray,1149,1660,900
Skirts,Light Blue,893,1886,1934
T-Shirts,Purple,1873,929,1375
Jackets,Green,1790,1444,1159
